Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative,ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ʊa,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517,7B19DF4EAB2A03B16BE2C19165F2F68E,ʊa,LATIN SMALL LETTER UPSILON - LATIN SMALL LETTER A,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"+,-",+,-,-,0,0,0,+,"+,-","-,+",-,"+,-",-,-,-,+,-,-,-,0,-,-,0
sˠ,0.33379331493406933,3,0.0013780431786862655,1,0.00045934772622875517,DF1C4BB6D5D67AF07427900EB81EF244,sˠ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL GAMMA,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
tˤ,0.28663594470046083,7,0.003215434083601286,2,0.0009186954524575103,8A2147CEAD6091015AA0965F0B6C2AEB,tˤ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,+,-,-,-,-,-,-,-,-,-
ɮʲ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517,FF6C523F2A5DD002B5514706570EEE96,ɮʲ,LATIN SMALL LETTER LEZH - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ʡ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517,D17CE01E5AFD7AA148785E96513B07CA,ʡ,LATIN LETTER GLOTTAL STOP WITH STROKE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,+,-,-,-,-,-,-
dzʱ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517,CB610CAB6FE2220917C929580F1730E5,dzʱ,LATIN SMALL LETTER D - LATIN SMALL LETTER Z - MODIFIER LETTER SMALL H WITH HOOK,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ɣʲ,0.2504601932811781,4,0.0018373909049150207,1,0.00045934772622875517,0F59E77A64C885395DCE59483866178A,ɣʲ,LATIN SMALL LETTER GAMMA - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
sˤ,0.22314473144731448,9,0.004134129536058797,2,0.0009186954524575103,35C386C6B0CA2D6E38CD56396F233034,sˤ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,+,-,-,-,-,-,-,-,-,-
œ̃,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517,06AD3EFFCE1EA6B31D8D6D91B820E116,œ̃,LATIN SMALL LIGATURE OE - COMBINING TILDE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,-,-,0
œ̃ː,0.20046040515653776,5,0.0022967386311437757,1,0.00045934772622875517,7CE76FD1B39B58673C93812B6769FB38,œ̃ː,LATIN SMALL LIGATURE OE - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,-,-,0
