Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative,ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
ɸ,0.0603185535263337,123,0.056499770326136886,7,0.003215434083601286,E9F92ED438311DEF47430F2DC3038C22,ɸ,LATIN SMALL LETTER PHI,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
bʱ,0.059286492374727676,17,0.0078089113458888375,1,0.00045934772622875517,15464A7A3C2D7A9B750F066632E00939,bʱ,LATIN SMALL LETTER B - MODIFIER LETTER SMALL H WITH HOOK,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
bʰ,0.059286492374727676,17,0.0078089113458888375,1,0.00045934772622875517,1F0B39C9E43EDAD4E4E4BCEC2A2C955D,bʰ,LATIN SMALL LETTER B - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɱ,0.05601873295249858,18,0.008268259072117593,1,0.00045934772622875517,E61654B85E72EDDB4ADA812B48BA9452,ɱ,LATIN SMALL LETTER M WITH HOOK,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
qʷʼ,0.05601873295249858,18,0.008268259072117593,1,0.00045934772622875517,1230081C3710A6F95C105998800A8557,qʷʼ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,+,-,+,-,-
l,0.05550680449170818,1582,0.7266881028938906,24,0.011024345429490124,03413638BD1DFC7AEF53192FEF71F017,l,LATIN SMALL LETTER L,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
q,0.05450676014021032,180,0.08268259072117592,9,0.004134129536058797,4AC7382217172B3821AE54CD38BD8698,q,LATIN SMALL LETTER Q,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-
r,0.05328929487255238,1099,0.5048231511254019,29,0.0133210840606339,5D1D7FB69E1A3C0C60001FBC0C19ED87,r,LATIN SMALL LETTER R,consonant,0,-,-,-,-,+,+,+,0,+,-,+,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
t̠ʃ,0.05277228511370681,916,0.42076251722553976,28,0.012861736334405145,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
o,0.05148879970785959,1446,0.66421681212678,25,0.011483693155718878,5AC0158A367D59E8C16A876321E578AB,o,LATIN SMALL LETTER O,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
ʃː,0.050935891436593356,40,0.018373909049150206,2,0.0009186954524575103,11BA86428BB2A632682677515F0DED9A,ʃː,LATIN SMALL LETTER ESH - MODIFIER LETTER TRIANGULAR COLON,consonant,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɣʷ,0.05046360686138155,20,0.009186954524575103,1,0.00045934772622875517,2C506EAD6B506B116E11D445B865A044,ɣʷ,LATIN SMALL LETTER GAMMA - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ɾ,0.04985686476583076,615,0.28249885163068444,22,0.010105649977032614,795215076D89B5B17C0D147BE5C341E3,ɾ,LATIN SMALL LETTER R WITH FISHHOOK,consonant,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
zː,0.04808286951144094,21,0.00964630225080386,1,0.00045934772622875517,55178E3BFB75E825B7E1DDB1ECAC84EA,zː,LATIN SMALL LETTER Z - MODIFIER LETTER TRIANGULAR COLON,consonant,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
j,0.047492310041667554,1993,0.915480018373909,8,0.0036747818098300414,ADF56B8E4119266843033E723A149AE2,j,LATIN SMALL LETTER J,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-
s,0.0440231096048031,1531,0.7032613688562241,20,0.009186954524575103,7FF174469DAC4E61520F4E1610B2F088,s,LATIN SMALL LETTER S,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɣ,0.043183734192908496,327,0.15020670647680295,12,0.005512172714745062,1832D7834F81DD97E33C58D9F70EC5C6,ɣ,LATIN SMALL LETTER GAMMA,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ts,0.040478697318541965,519,0.23840146991272393,16,0.007349563619660083,106C7FE93D986D037407524D08F3599A,ts,LATIN SMALL LETTER T - LATIN SMALL LETTER S,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
e,0.040158642316915696,1482,0.6807533302710151,19,0.008727606798346348,199408E3D0668F10F475143F0E8CC0CB,e,LATIN SMALL LETTER E,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ɖ̤,0.037502153316106804,27,0.01240238860817639,1,0.00045934772622875517,D32D22D7FB8C895910556E91EE6B372A,ɖ̤,LATIN SMALL LETTER D WITH TAIL - COMBINING DIAERESIS BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
θ,0.03714763497372193,84,0.03858520900321544,3,0.0013780431786862655,7D184A6DCDA3EB154F9CB34651E02EEE,θ,GREEK SMALL LETTER THETA,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
xʷ,0.03542660005532864,58,0.0266421681212678,2,0.0009186954524575103,CC1E157E56BC1B4B281FF3ACD292F7DF,xʷ,LATIN SMALL LETTER X - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
dz,0.03185462967608154,248,0.11391823610473129,7,0.003215434083601286,17B1CFA69C0C6AB5362FFDB585C0C7DC,dz,LATIN SMALL LETTER D - LATIN SMALL LETTER Z,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
m,0.031716200466200446,2112,0.9701423977951309,2,0.0009186954524575103,5AE9663626770D1D4B97AAE5769AB83C,m,LATIN SMALL LETTER M,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
k,0.031396744084086166,2004,0.9205328433624254,5,0.0022967386311437757,5A838FF4DABE1950734CFAFAB9383903,k,LATIN SMALL LETTER K,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ɲː,0.030769448213478063,33,0.01515847496554892,1,0.00045934772622875517,B72EA7A6AB24EDF883082F82EAC69ADE,ɲː,LATIN SMALL LETTER N WITH LEFT HOOK - MODIFIER LETTER TRIANGULAR COLON,consonant,0,-,-,-,+,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ɖʐ,0.030769448213478063,33,0.01515847496554892,1,0.00045934772622875517,D418E761F17614DCFCAE81181526DD99,ɖʐ,LATIN SMALL LETTER D WITH TAIL - LATIN SMALL LETTER Z WITH RETROFLEX HOOK,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
t̪ʼ,0.030769448213478063,33,0.01515847496554892,1,0.00045934772622875517,D3867260AB7CFE5A579FD7E8ACD31024,t̪ʼ,LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
tʲ,0.028347830616177926,73,0.03353238401469913,2,0.0009186954524575103,FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6,tʲ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
w,0.02752699592848292,1883,0.864951768488746,7,0.003215434083601286,501394D0E2658752D9DA624E7DEBE14B,w,LATIN SMALL LETTER W,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,0,0,+,-,-,-,-,-,-,-
mp,0.027494316746653195,37,0.016995865870463943,1,0.00045934772622875517,BF12DE184C2966E2D5F83A7F25285B98,mp,LATIN SMALL LETTER M - LATIN SMALL LETTER P,consonant,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,"+,-",-,-,-,-,-,-,-
ʈʂʰ,0.027494316746653195,37,0.016995865870463943,1,0.00045934772622875517,1221CD26FBA96262AA84D0449FF78413,ʈʂʰ,LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ʈʂ,0.026926406926406923,77,0.03536977491961415,2,0.0009186954524575103,0C125CB557D530881A8F1E46A3EB6F0C,ʈʂ,LATIN SMALL LETTER T WITH RETROFLEX HOOK - LATIN SMALL LETTER S WITH HOOK,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
sʷ,0.026783297655077386,38,0.017455213596692696,1,0.00045934772622875517,6576638EF4391DBEAFB44F37A062CD2D,sʷ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
fː,0.026783297655077386,38,0.017455213596692696,1,0.00045934772622875517,1AEE2DB972C8FD9AFB48C4C1B451C729,fː,LATIN SMALL LETTER F - MODIFIER LETTER TRIANGULAR COLON,consonant,0,-,-,-,+,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɔ̃ː,0.026108752488546688,39,0.017914561322921452,1,0.00045934772622875517,A8502B647A72314DC6621C4135B5EE3E,ɔ̃ː,LATIN SMALL LETTER OPEN O - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,+,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
sʲ,0.025467945718296678,40,0.018373909049150206,1,0.00045934772622875517,AE22B011DAF9516E3388AF4E418B00F4,sʲ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
y,0.024901628843338214,128,0.05879650895728066,3,0.0013780431786862655,27E498422242BAF54775C75A8C884CF7,y,LATIN SMALL LETTER Y,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,+,-,+,-,-,+,-,-,-,0,-,-,0
ɘ,0.024858408696446517,41,0.018833256775378962,1,0.00045934772622875517,CEB8A516242B5E336874AC64E81D655E,ɘ,LATIN SMALL LETTER REVERSED E,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,-,+,-,-,+,-,-,-,0,-,-,0
b̤,0.024858408696446517,41,0.018833256775378962,1,0.00045934772622875517,584E53EB5DC897FE333F996BB3854365,b̤,LATIN SMALL LETTER B - COMBINING DIAERESIS BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
ŋ,0.024363221272214516,1424,0.6541111621497474,12,0.005512172714745062,941ED37AAF5E9C4E1B40D85008C6B2D9,ŋ,LATIN SMALL LETTER ENG,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
ai,0.0239454435461695,87,0.0399632521819017,2,0.0009186954524575103,5E12425DA8E8C8FD24F187BE6A56D20F,ai,LATIN SMALL LETTER A - LATIN SMALL LETTER I,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,"-,+","+,-","-,+",-,+,-,-,+,-,-,-,0,-,-,0
ɮ,0.02372441751487544,43,0.01975195222783647,1,0.00045934772622875517,8AB7F55EAB4F34299B9887A4F4BCF42F,ɮ,LATIN SMALL LETTER LEZH,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
χʷ,0.02372441751487544,43,0.01975195222783647,1,0.00045934772622875517,26770129337E78245F6006266F845267,χʷ,GREEK SMALL LETTER CHI - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-
ɒ,0.022691265374192207,45,0.02067064768029398,1,0.00045934772622875517,5745AAC70E7A7B7175204204FFBE639F,ɒ,LATIN SMALL LETTER TURNED ALPHA,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,+,-,+,0,-,-,+,-,-,-,0,-,-,0
ɛ̃ː,0.022691265374192207,45,0.02067064768029398,1,0.00045934772622875517,C8E200405D83F3D806F98BC041341BA0,ɛ̃ː,LATIN SMALL LETTER OPEN E - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,-,-,0
tɕ,0.02201324637241519,95,0.04363803399173174,2,0.0009186954524575103,F98D1F5885EED9A2408A55B509F263BD,tɕ,LATIN SMALL LETTER T - LATIN SMALL LETTER C WITH CURL,consonant,0,-,-,-,-,+,-,"-,+","-,+",-,-,-,-,-,-,0,0,+,+,"-,+","-,+","-,+",+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
β,0.02191190147394527,259,0.1189710610932476,5,0.0022967386311437757,A2DFF488C07B9A11B5DF5EA37214750D,β,GREEK SMALL LETTER BETA,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
pʷ,0.021303037419758888,48,0.022048690858980247,1,0.00045934772622875517,89135AE8B291E91395AD52BAA7592587,pʷ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ɡʱ,0.021303037419758888,48,0.022048690858980247,1,0.00045934772622875517,2834DBE208519761437F67022B9C4607,ɡʱ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL H WITH HOOK,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
t,0.02018600424675698,1656,0.7606798346348186,8,0.0036747818098300414,9F90F95459807624A486F03FE5A89978,t,LATIN SMALL LETTER T,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʔ,0.019333478978282914,846,0.3886081763895269,10,0.004593477262287551,0844E3AEAF1C8E3837465942B92FE4C5,ʔ,LATIN LETTER GLOTTAL STOP,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,-,-,-
æ,0.01914182713444122,170,0.07808911345888837,3,0.0013780431786862655,B6D180EA250E6FBDE82C3D1F1BB4A39C,æ,LATIN SMALL LETTER AE,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,+,-,0,-,-,+,-,-,-,0,-,-,0
ʝ,0.018989550077632977,54,0.02480477721635278,1,0.00045934772622875517,A5176F73648084056F9A091440AB3FBB,ʝ,LATIN SMALL LETTER J WITH CROSSED-TAIL,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ŋɡʷ,0.018989550077632977,54,0.02480477721635278,1,0.00045934772622875517,AB82830F169A66AB145EF22527B96A24,ŋɡʷ,LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,"-,+",+,-,-,0,0,0,+,+,-,-,-,0,0,0,+,-,-,-,-,-,-,-
qʰ,0.018989550077632977,54,0.02480477721635278,1,0.00045934772622875517,871B92989C5EC420B7D61B05731D1E83,qʰ,LATIN SMALL LETTER Q - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,+,-,-,-,-,-
hʷ,0.018328618576143325,56,0.02572347266881029,1,0.00045934772622875517,4E454EFC24409956D610FB858C201318,hʷ,LATIN SMALL LETTER H - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
pʲ,0.018328618576143325,56,0.02572347266881029,1,0.00045934772622875517,A6BC925BE30427A4ECE5EB6136535393,pʲ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
pʼ,0.018064890880424865,117,0.053743683968764354,2,0.0009186954524575103,646674CE0AF099A6E69FB25363B53313,pʼ,LATIN SMALL LETTER P - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,-,+,-,+,-,-
qʼ,0.017421296074006498,59,0.027101515847496555,1,0.00045934772622875517,F004A6DF8DC34AB3759000D0EEA099AC,qʼ,LATIN SMALL LETTER Q - MODIFIER LETTER APOSTROPHE,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,+,-,+,-,-
n̠d̠ʒ,0.01736667863268318,122,0.05604042259990813,2,0.0009186954524575103,E8A9FEC9A1B502D54358B0FE53449BE1,n̠d̠ʒ,LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH,consonant,0,-,-,-,-,+,"+,-",-,+,-,-,-,"+,-",-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ɬ,0.017103216378863348,124,0.05695911805236564,2,0.0009186954524575103,1F0C89A7E99CD5113AA994AD2CC86CBC,ɬ,LATIN SMALL LETTER L WITH BELT,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
c,0.017022441160372194,350,0.1607717041800643,5,0.0022967386311437757,852A220443D41F0A63671A2F4DEC9788,c,LATIN SMALL LETTER C,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
l̥,0.01686603241501131,61,0.028020211299954065,1,0.00045934772622875517,D47E305230AF5B8AD808EC71E2E40B0A,l̥,LATIN SMALL LETTER L - COMBINING RING BELOW,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʑ,0.016601845496835202,62,0.02847955902618282,1,0.00045934772622875517,F927B77FA49C7A849AEB78FB55268B69,ʑ,LATIN SMALL LETTER Z WITH CURL,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,+,+,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
ɽ,0.015369843477524164,139,0.06384933394579696,2,0.0009186954524575103,ECADEF8DC1141DC0002DA207736CC234,ɽ,LATIN SMALL LETTER R WITH TAIL,consonant,0,-,-,-,-,+,+,+,0,+,+,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
oː,0.015199648111040517,518,0.2379421221864952,6,0.002756086357372531,08F6CE9332919F91E699096D433AC8BB,oː,LATIN SMALL LETTER O - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,+,-,-,+,-,-,-,0,-,-,0
ʂ,0.014969298155138864,143,0.06568672485071199,2,0.0009186954524575103,9B4FF3CA9C2C2CC0884F937ECD88C04D,ʂ,LATIN SMALL LETTER S WITH HOOK,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
ʐ,0.014760322733744662,70,0.03215434083601286,1,0.00045934772622875517,9EBF00B0DFB3E7F964B97DB54E9A36FD,ʐ,LATIN SMALL LETTER Z WITH RETROFLEX HOOK,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,-,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
au,0.014363948271311692,72,0.03307303628847037,1,0.00045934772622875517,25061B1A6BE5A4214D5C675C56B92574,au,LATIN SMALL LETTER A - LATIN SMALL LETTER U,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,"-,+",+,-,-,0,0,0,+,"-,+","+,-",-,"-,+",+,-,-,+,-,-,-,0,-,-,0
cʰ,0.013633858563591275,76,0.03491042719338539,1,0.00045934772622875517,2653DF7B6901A0BABDDFBC146CF52EDE,cʰ,LATIN SMALL LETTER C - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,+,-,-,-,-,-
ɛ,0.013449230236983222,861,0.3954983922829582,7,0.003215434083601286,8A61A9B6039DB852CE150BEC6198AFE5,ɛ,LATIN SMALL LETTER OPEN E,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,+,-,-,-,-,+,-,-,-,0,-,-,0
ɲ,0.01300819809268864,973,0.44694533762057875,7,0.003215434083601286,1AD6D96C35E6ADA62F1EAF5B167F75F7,ɲ,LATIN SMALL LETTER N WITH LEFT HOOK,consonant,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
pʰ,0.012778783814323154,379,0.1740927882406982,4,0.0018373909049150207,6E065D8A2F199BCBC7CA7074EC4DE834,pʰ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɔː,0.01272474340090248,269,0.12356453835553514,3,0.0013780431786862655,7D4AEC4169D5DB682621A0F86C706FC9,ɔː,LATIN SMALL LETTER OPEN O - MODIFIER LETTER TRIANGULAR COLON,vowel,0,-,+,-,+,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
ə,0.012422225569813247,533,0.2448323380799265,5,0.0022967386311437757,D9B28B2D674EBA4B03C38B36D77E563E,ə,LATIN SMALL LETTER SCHWA,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,-,-,-,-,+,-,-,-,0,-,-,0
ʈʰ,0.012382544991240644,84,0.03858520900321544,1,0.00045934772622875517,4364823B8F03525E91440277AEC22689,ʈʰ,LATIN SMALL LETTER T WITH RETROFLEX HOOK - MODIFIER LETTER SMALL H,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,-,-,-,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɑ,0.011873077510416894,184,0.08451998162609095,2,0.0009186954524575103,F55CF3619FAF770147652F0FDB9F146F,ɑ,LATIN SMALL LETTER ALPHA,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,-,+,-,+,0,-,-,+,-,-,-,0,-,-,0
u,0.011814826875067843,1992,0.9150206706476803,2,0.0009186954524575103,58EB693AE523323410326D60806B9ADF,u,LATIN SMALL LETTER U,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,+,-,-,+,+,-,-,+,-,-,-,0,-,-,0
ɔ,0.011727314353435506,822,0.3775838309600367,6,0.002756086357372531,55C328C4539D138964636333EABA3949,ɔ,LATIN SMALL LETTER OPEN O,vowel,0,-,+,-,-,-,+,+,0,+,-,-,-,-,+,+,-,-,0,0,0,+,-,-,-,+,-,-,-,+,-,-,-,0,-,-,0
