Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
ɪ,0.006921416330981684,343,0.15755627009646303,2,0.0009186954524575103
t̠ʃʰ,0.006707211870255349,161,0.07395498392282958,1,0.00045934772622875517
kʼ,0.006450141032022565,168,0.07717041800643087,1,0.00045934772622875517
ɖ,0.006346457702914649,171,0.07854846118511713,1,0.00045934772622875517
aː,0.006090805318053629,753,0.34588883785025265,3,0.0013780431786862655
n̪,0.005857882444111981,424,0.19476343592099218,2,0.0009186954524575103
ɔ̃,0.005739126766949801,191,0.08773541570969223,1,0.00045934772622875517
a,0.005658925609952638,1983,0.9108865411116215,1,0.00045934772622875517
ɛ̃,0.005432693987352828,203,0.0932475884244373,1,0.00045934772622875517
ɗ,0.005292819076516124,209,0.09600367478180984,1,0.00045934772622875517
o̞,0.0048614367700587306,230,0.10564997703261368,1,0.00045934772622875517
ɓ,0.004582907040877762,246,0.11299954065227377,1,0.00045934772622875517
ŋɡ,0.0044877344877344875,252,0.1157556270096463,1,0.00045934772622875517
nd,0.004441859990614352,255,0.11713367018833257,1,0.00045934772622875517
mb,0.004188213747037276,273,0.12540192926045016,1,0.00045934772622875517
uː,0.004124699694578966,729,0.3348644924207625,2,0.0009186954524575103
õ,0.0040493887785242886,284,0.13045475424896646,1,0.00045934772622875517
iː,0.003993484218674904,781,0.3587505741846578,2,0.0009186954524575103
ɡb,0.0038233765138955236,304,0.13964170877354157,1,0.00045934772622875517
ã,0.0030568286490979756,401,0.18419843821773083,1,0.00045934772622875517
ɨ,0.0030392633171946637,404,0.18557648139641708,1,0.00045934772622875517
ĩ,0.0029394688162460675,422,0.19384474046853467,1,0.00045934772622875517
